KEY,en,notes,sp,fr,de,it,pt-br,zh
CURRENT_LANGUAGE_NAME,English,"put ""espanol"" in the spanish column, ""francois"" in the french one, etc. Limited text box space so abbreviate if necessary",Español,Français,Deutsch,Italiano,Português (Brasil),中文
CURRENT_LANGUAGE_SHIPPABLE,yes,"put ""yes"" if the language is shippable and ""no"" if its not ready yet. this is not displayed, just used to determine if the language should show in the UI selector",yes,yes,yes,yes,yes,yes
,,,,,,,,
SONG_UNLOCK_CREDITS_1,"""Get in the Cage"" is now in the radio playlist!",,¡Se ha añadido «Get in the Cage» a la lista de la radio!,«&nbsp;L'entrée en cage&nbsp;» est dispo dans la liste de lecture radio&nbsp;!,„Get in the Cage“ kann jetzt im Radio laufen!,"""Get in the Cage"" è ora nella playlist della radio!","""Get in the Cage"" foi adicionada à lista de reprodução de rádio!",“Get in the Cage” 现在已加入电台播放列表！
SONG_UNLOCK_CREDITS_2,"""Future Meets the Past"" is now in the radio playlist!",,¡Se ha añadido «Future Meets the Past» a la lista de la radio!,«&nbsp;Le futur face au passé&nbsp;» est dispo dans la liste de lecture radio&nbsp;!,„Future Meets the Past“ kann jetzt im Radio laufen!,"""Future Meets the Past"" è ora nella playlist della radio!","""Future Meets the Past"" foi adicionada à lista de reprodução de rádio!",“Future Meets the Past” 现在已加入电台播放列表！
,,,,,,,,
,,,,,,,,
CONTROL_BINDING_UNKNOWN,Unknown,,Desconocido,Inconnu,Unbekannt,Sconosciuto,Desconhecido,未知
CONTROL_BINDING_ANY,Any Button,,Cualquier botón,N'importe quelle touche,Beliebige Taste,Qualsiasi pulsante,Qualquer botão,任意按钮
CONTROL_BINDING_LEFTCLICK,Left Click,,Clic izquierdo,Clic gauche,Linksklick,Clic sinistro,Botão esquerdo do mouse,左键点击
CONTROL_BINDING_RIGHTCLICK,Right Click,,Clic derecho,Clic droit,Rechtsklick,Clic destro,Botão direito do mouse,右键点击
CONTROL_BINDING_MIDDLECLICK,Middle Click,,Clic central,Clic molette,Mittlere Maustaste,Clic centrale,Botão do meio do mouse,中键点击
CONTROL_BINDING_MOUSE4,Mouse 4,,Ratón 4,Clic&nbsp;4,Maus 4,Mouse 4,Mouse 4,鼠标4
CONTROL_BINDING_MOUSE5,Mouse 5,,Ratón 5,Clic&nbsp;5,Maus 5,Mouse 5,Mouse 5,鼠标5
CONTROL_BINDING_MOUSEX,Mouse,,Ratón,Souris,Maus,Mouse,Mouse,鼠标
CONTROL_BINDING_MOUSEY,Mouse,,Ratón,Souris,Maus,Mouse,Mouse,鼠标
CONTROL_BINDING_MOUSEWHEELX,Mouse Wheel,,Rueda del ratón,Molette,Mausrad,Rotellina del mouse,Roda do mouse,鼠标滚轮
CONTROL_BINDING_MOUSEWHEELY,Mouse Wheel,,Rueda del ratón,Molette,Mausrad,Rotellina del mouse,Roda do mouse,鼠标滚轮
CONTROL_BINDING_NONE,,purposely empty,,,,,,
,,,,,,,,
