KEY,en,notes,sp,fr,de,it,pt-br,zh
TEAMNAME_FORMAT,The {Adjective} {Nouns},"one adjective and one noun are chosen at random. If this is impossible to make work in a language, then just change the format to say ""The Cats"", or make the adjectives empty and randomize some teamnames in the Noun slots",Los {Nouns} {Adjective},Les {Nouns} {Adjective},Die {Adjective} {Nouns},{Nouns} {Adjective},{Nouns} {Adjective},那个{Adjective}的{Nouns}
TEAMNAME_FORMAT2,{Adjective} {Nouns},"if the adjective is prepended with ""format2|"" then the team name will use this format instead of the default one",{Nouns} {Adjective},{Nouns} {Adjective},Die {Adjective}-{Nouns},{Adjective} {Nouns},{Nouns} {Adjective},{Adjective}的{Nouns}
,,"if more than 2 formats are needed for a language, I can add more (just let me know).",,,,,,
,,"nouns may be prepended with the text ""singular|"" (ex if the noun is Team or Sqaud instead of Cats). This changes the grammar in the embark/return/fail cutscenes (ex: ""{Teamname} Returns Home"" vs {Teamname} Return Home"")",,,,,,
TEAMNAME_ADJECTIVE_FIGHTER0,Strong,"these do not need to be strictly literal translations, you can be creative with them",Fuertes,forts|fortes,Starken,Forti,Fortes,强壮
TEAMNAME_ADJECTIVE_FIGHTER1,Dumb,,Tontos,idiots|idiotes,Blöden,Tontoloni|Tontolone,Burros|Burras,愚蠢
TEAMNAME_ADJECTIVE_FIGHTER2,Powerful,,Poderosos,puissants|puissantes,Garstigen,Potenti,Poderosos|Poderosas,强大
TEAMNAME_ADJECTIVE_FIGHTER3,Mighty,,Imponentes,vaillants|vaillantes,Mächtigen,Possenti,Potentes,威猛
TEAMNAME_ADJECTIVE_FIGHTER4,Elite,,de Élite,d'élite,format2|Elite,D'élite,de Elite,精英
TEAMNAME_ADJECTIVE_FIGHTER5,Swol,,Cachas,musclés|musclées,Pumpenden,Pompati|Pompate,Inchados|Inchadas,壮硕
TEAMNAME_ADJECTIVE_FIGHTER6,Alpha,,Alfa,mâles alpha|femelles alpha,format2|Alpha,Alfa,Alfas,首领
TEAMNAME_ADJECTIVE_FIGHTER7,Punchy,,Contundentes,percutants|percutantes,Schlagfertigen,Bizzosi|Bizzose,Impactantes,有力一击
TEAMNAME_ADJECTIVE_FIGHTER8,Bruised,,Magullados,amochés|amochées,Verprellten,Lividi|Livide,Contundidos|Contundidas,遍体鳞伤
TEAMNAME_ADJECTIVE_FIGHTER9,Fightin',,Peleones,bagarreurs|bagarreuses,Kriegerischen,Rissosi|Rissose,Lutadores|Lutadoras,好战
TEAMNAME_ADJECTIVE_FIGHTER10,Tough,,Duros,balèzes,Zähen,Duri|Dure,Resistentes,坚韧
TEAMNAME_ADJECTIVE_FIGHTER11,Cocky,,Fanfarrones,prétentieux|prétentieuses,Frechen,Spavaldi|Spavalde,Arrogantes,自负
TEAMNAME_ADJECTIVE_FIGHTER12,Dim,,Atontados,bêtes,Zurückgebliebenen,Ottusi|Ottuse,Obtusos|Obtusas,迟钝的
TEAMNAME_ADJECTIVE_FIGHTER13,Brooding,,Amenazadores,menaçants|menaçantes,Grüblerischen,Cupi,Melancólicos|Melancólicas,沉思
TEAMNAME_ADJECTIVE_HUNTER0,Patient,,Pacientes,patients|patientes,Geduldigen,Pazienti,Pacientes,有耐心
TEAMNAME_ADJECTIVE_HUNTER1,Accurate,,Precisos,précis|précises,Peniblen,Precisi|Precise,Precisos|Precisas,精准
TEAMNAME_ADJECTIVE_HUNTER2,Focused,,Concentrados,concentrés|concentrées,Konzentrierten,Concentrati|Concentrate,Concentrados|Concentradas,专注
TEAMNAME_ADJECTIVE_HUNTER3,Sharp Shootin',,Certeros,flingueurs|flingueuses,Adleräugigen,Attenti|Attente,Certeiros|Certeiras,神射
TEAMNAME_ADJECTIVE_HUNTER4,Mangy,,Sarnosos,galeux|galeuses,Räudigen,Rognosi|Rognose,Mambembes,邋遢
