KEY,en,notes,sp,fr,de,it,pt-br,zh
//beanies_gameintro,,,,,,,,
NPC_BEANIES_INTRO_1,[img:veryhappy][s:1.5][b]Science!!![/b][/s],,[img:veryhappy][s:1.5][b]¡¡¡Ciencia!!![/b][/s],[img:veryhappy][s:1.5][b]La Science&nbsp;!!![/b][/s],[img:veryhappy][s:1.5][b]Wissenschaft!!![/b][/s],[img:veryhappy][s:1.5][b]Scienza!!![/b][/s],[img:veryhappy][s:1.5][b]Ciência!!![/b][/s],[img:veryhappy][s:1.5][b]科学!!![/b][/s]
NPC_BEANIES_INTRO_2,[img:happy]Scared you didn't I?,,[img:happy]¿A que te he asustado?,"[img:happy]Je t'ai fait peur, non&nbsp;?","[img:happy]Na, hab ich dich erschreckt?","[img:happy]Ti ho fatto paura, vero?","[img:happy]Te assustei, não foi?",[img:happy]把你吓到了吧？
NPC_BEANIES_INTRO_3,[img:default]I know how scary a buzzword like science can be these days...,,[img:default]Sé que las palabras rocambolescas como «ciencia» pueden ser terroríficas hoy en día...,[img:default]Je sais comme un mot aussi puissant que celui-ci peut effrayer par les temps qui courent...,"[img:default]Ich weiß, ich weiß, heutzutage gibt es genug Schwurbler, die Angst vor diesem Wort haben&nbsp;…","[img:default]So quanto possa essere spaventosa una parola come ""scienza"" di questi tempi...",[img:default]Eu sei que uma palavra da moda como ciência pode ser assustadora hoje em dia...,[img:default]我知道如今“科学”这样的流行词有多吓人……
NPC_BEANIES_INTRO_4,"[img:happy]But trust me when I say,
science can actually be a good thing sometimes.",,"[img:happy]Pero créeme:
la ciencia puede ser algo positivo a veces.","[img:happy]Mais, fais-moi confiance, quand je dis ça&nbsp;: la science peut parfois vraiment être une bonne chose.","[img:happy]Aber du kannst mir glauben, die Wissenschaft kann etwas Großartiges sein.","[img:happy]Ma fidati di me quando dico che
a volte la scienza può essere una buona cosa.","[img:happy]Mas acredite em mim, a ciência pode ser uma coisa boa de vez em quando.",[img:happy]但相信我，科学有时候其实是件好事。
NPC_BEANIES_INTRO_5,[img:default]Take this table for instance.,,"[img:default]Mira esta mesa, por ejemplo.","[img:default]Regarde cette table, par exemple.",[img:default]Nimm zum Beispiel diesen Tisch hier.,"[img:default]Prendi questo tavolo, per esempio.","[img:default]Considere esta mesa, por exemplo.",[img:default]拿这张桌子举个例子。
NPC_BEANIES_INTRO_6,"A science made this table
and the floor it sits on!",,"¡Una ciencia ha creado esta mesa
y el suelo sobre el que está!","C'est une science qui a fabriqué cette table
et le sol sur lequel elle repose&nbsp;!","Ohne die Wissenschaft hätten wir ihn nicht, geschweige denn den Boden, auf dem er steht!","È stata la scienza a creare questo tavolo
e il pavimento su cui si poggia!",Uma ciência produziu esta mesa e o piso sobre o qual ela está!,这张桌子和它所处的地板都是科学造出来的！
NPC_BEANIES_INTRO_7,[img:whispering]There are even people out there who believe that a science made you and I!,,[img:whispering]Incluso hay gente por ahí que cree que una ciencia nos ha creado a ti y a mí.,"[img:whispering]Il y a même des gens dans le monde qui pensent que toi, et moi aussi, c'est une science qui nous a fait&nbsp;!","[img:whispering]Man munkelt sogar, dass es ohne die Wissenschaft weder dich noch mich gäbe! Muss man wissen!",[img:whispering]C'è persino chi crede che la scienza abbia creato te e me!,"[img:whispering]Existem até mesmo pessoas que acreditam que uma ciência nos criou, eu e você!",[img:whispering]甚至有人相信科学创造了你和我！
NPC_BEANIES_INTRO_8,"[img:default]But I digress,
the point I was trying to make here is that cats are a science too...",,"[img:default]Ay, que me voy por las ramas.
Lo que intentaba decir es que los gatos también son una ciencia...","[img:default]Mais, je me perds. Ce que je voulais dire c'est que pour les chats, c'est la même chose...","[img:default]Aber ich schweife ab, worauf ich eigentlich hinauswollte, war, dass auch Katzen eine Wissenschaft für sich sind&nbsp;…","[img:default]Ma sto divagando.
Quello che stavo cercando di dire è che anche i gatti sono una scienza...","[img:default]Mas isso é outra história.
A questão aqui é que gatos também são uma ciência...","[img:default]不过我离题了，
我想表达的重点是猫本身也是科学……"
NPC_BEANIES_INTRO_9,"[img:winking]A science that I
[b]Thomas A. Beanies[/b]
invented!",,"[img:winking]Una ciencia que yo,
[b]Thomas A. Beanies[/b],
he inventado.","[img:winking]Et cette science, c'est moi, [b]Thomas A. Beanies[/b], qui l'ai inventée&nbsp;!","[img:winking]Eine Wissenschaft, die ich,
[b]Thomas A. Beanies,[/b]
erfunden habe!","[img:winking]Una scienza che ho
inventato io,
[b]Thomas A. Beanies[/b]!","[img:winking]Uma ciência que eu,
[b]Thomas A. Beanies[/b],
inventou!","[img:winking]一种由我
[b]托马斯·A·比尼斯[/b]
发明的科学！"
