KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
EABILITY_HOLYBLAST_NAME,Holy Blast,,Explosión sagrada,Explosion sacrée,Heilige Explosion,Esplosione Sacra,Explosão Sagrada,,,,神圣冲击
EABILITY_PRECOGNITION_NAME,Precognition,,Premonición,Prémonition,Vorausahnung,Precognizione,Predição,,,,预知
EABILITY_ANNIHILATION_NAME,Annihilation,,Aniquilación,Annihilation,Vernichtung,Annientamento,Aniquilação,,,,湮灭
EABILITY_RISE_NAME,Rise,,Levantamiento,Ascension,Erheben,Ascesa,Elevação,,,,升起
EABILITY_PURITY_NAME,Purity,,Pureza,Pureté,Reinheit,Purezza,Pureza,,,,纯洁
EABILITY_WRATH_NAME,Wrath,,Ira,Courroux,Zorn,Ira,Ira,,,,愤怒
EABILITY_PULSE_NAME,Pulse,,Pulso,Pulsation,Puls,Impulso,Pulso,,,,脉冲
EABILITY_SLAM_NAME,Slam,,Porrazo,Écrasement,Aufschlag,Schianto,Batida,,,,猛击
EABILITY_TOSS_NAME,Toss,,Lanzamiento,Lancer,Wurf,Lancio,Lançamento,,,,投掷
EABILITY_GASP_NAME,Gasp,,Bocanada,Exclamation,Keuchen,Sussulto,Engasgo,,,,喘息
EABILITY_RAGE_NAME,Rage,,Rabia,Rage,Rage,Rabbia,Raiva,,,,暴怒
EABILITY_TANTRUM_NAME,Tantrum,,Rabieta,Caprice,Wutanfall,Capriccio,Birra,,,,发脾气
EABILITY_CALL_NAME,Call,,Llamada,Appel,Ruf,Richiamo,Chamado,,,,呼唤
EABILITY_SPIT_NAME,Spit,,Escupitajo,Crachat,Ausspucken,Sputo,Cuspe,,,,吐口水
EABILITY_BELLYPOUND_NAME,Belly Pound,,Barrigazo,Tambourinage de bide,Bauchtrommel,Sbatacchiamento di Pancia,Barrigada,,,,腹部猛击
EABILITY_DIGEST_NAME,Digest,,Digestión,Digestion,Verdauen,Digestione,Digestão,,,,消化
EABILITY_HEADCHARGE_NAME,Head Charge,,Cabezazo,Tête en avant,Kopfansturm,Carica di Testa,Cabeçada,,,,头部冲锋
EABILITY_SHRIEK_NAME,Shriek,,Chillido,Cri perçant,Kreischen,Stridio,Guincho,,,,尖啸
EABILITY_SCREAM_NAME,Scream,,Grito,Cri,Schrei,Urlo,Grito,,,,尖叫
EABILITY_SHAKE_NAME,Shake,,Sacudida,Secousse,Schütteln,Scuotimento,Tremor,,,,震动
EABILITY_COUGH_NAME,Cough,,Tos,Toux,Husten,Tosse,Tosse,,,,咳嗽
EABILITY_PRISON_NAME,Prison,,Prisión,Prison,Gefängnis,Prigione,Prisão,,,,囚笼
EABILITY_SPINTHROW_NAME,Spin Throw,,Lanzamiento giratorio,Lancer toupie,Drehwurf,Lancio Rotante,Lançamento Giratório,,,,旋转投掷
EABILITY_FIRESTORM_NAME,Firestorm,,Tormenta de fuego,Tempête de feu,Feuersturm,Tempesta di Fuoco,Tempestade de Fogo,,,,火焰风暴
EABILITY_FIREBREATH_NAME,Fire Breath,,Aliento de fuego,Souffle de feu,Feueratem,Soffio di Fuoco,Hálito Flamejante,,,,火焰吐息
EABILITY_VOLCANOSTOMP_NAME,Volcano Stomp,,Pisotón volcánico,Piétinement volcanique,Vulkanstampfer,Pestone Vulcanico,Pisão de Vulcão,,,,火山重踏
EABILITY_SPINDASH_NAME,Spin Dash,,Carrera giratoria,Charge tournoyante,Drehsturm,Scatto Rotante,Impulso Giratório,,,,旋转冲刺
EABILITY_METEORNADO_NAME,Meteornado,,Meteornado,Météornade,Meteornado,Meteornado,Meteoronado,,,,陨石龙卷
EABILITY_TURTLE_NAME,Turtle,,Tortuga,Tortue,Panzerschutz,Tartaruga,Tartaruga,,,,缩壳
EABILITY_MAGNETPULL_NAME,Magnet Pull,,Atracción magnética,Attirance magnétique,Magnetzug,Attrazione Magnetica,Atração Magnética,,,,磁力牵引
EABILITY_METEORBOMBARD_NAME,Meteor Bombardment,,Bombardeo de meteoritos,Bombardement météore,Meteorbeschuss,Bombardamento Meteoritico,Bombardeio de Meteoros,,,,陨石轰炸
EABILITY_HSULF_NAME,Hsulf,"""Flush"" backwards (for chaos boss) [backwards version of flushmaster Flush]",Anretsic,Odessahc,Gnulüps,Enouqcaics,Orieugracsed,,,,水冲
EABILITY_TSALBDNIMAGEM_NAME,Tsalb Dnim Agem,"""Mega Mind Blast"" backwards (for chaos boss) [backwards version of johnny's Mega Mind Blast]",Latnem nóisolpxeagem,Euqihcysp epparf agèm,Noisolpxeneknadeg Egiseir,Elatnem Enoisolpse Agem,Latnem Oãsolpxe Agem,,,,爆震灵心级超
EABILITY_TUODAERPS_NAME,Tuo Daerps.,"""Spread Out"" backwards (for chaos boss) [backwards version of throbbing king's Spread Out]",Adadnabsed,Suov-zesrepsid.,Hcue tlietreV.,Ivetailgapraps.,Otnemahlapse,,,,。开散
EABILITY_THROWGRENADE_NAME,Throw Grenade,,Lanzamiento de granada,Lancer de grenade,Granate werfen,Lancio di Granata,Lançar Granada,,,,投掷手榴弹
EABILITY_SNIPER_NAME,Sniper,,Tiro de francotirador,Sniper,Scharfschütze,Cecchino,Sniper,,,,狙击
EABILITY_BOULDERDROP_NAME,Boulder Drop!,,¡Peñasco va!,Lancer de rocher,Steinschlag!,Caduta Massi!,Pedrada!,,,,落石！
EABILITY_T3RIPANDTEAR_NAME,Auseinanderreißen,,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen,Auseinanderreißen,,,,撕裂
