KEY,en,notes,sp,fr,de,it,pt-br,zh
KEYWORD_ADRENALINE_NAME,Adrenaline,,Adrenalina,Adrénaline,Adrenalin,Adrenalina,Adrenalina,肾上腺素
KEYWORD_ADRENALINE_DESC,"Keeps Exhaustion at 0.
+25% Crit Chance.
+25% Block Chance.",,"Mantiene el agotamiento en 0.
+25 % de probabilidad de crítico.
+25 % de probabilidad de bloqueo.","L'épuisement reste à 0.
Chances de coup critique +25&nbsp;%.
Chances de bloquer +25&nbsp;%.","Erschöpfung bleibt auf 0.
+25&nbsp;% kritische Trefferchance.
+25&nbsp;% Blockwahrscheinlichkeit.","Mantiene la Spossatezza a 0.
+25% probabilità di colpo critico.
+25% probabilità di parata.","Mantém a exaustão em 0.
+25% de chance de crítico.
+25% de chance de bloquear.","将疲劳保持在 0。
+25% 暴击率。
+25% 格挡率。"
KEYWORD_ALLSTATSUP_NAME,All Stats Up,,Aumento total,Hausse de stats,Bonus auf alle Attribute,Aumento delle Statistiche,Todos os atributos aumentados,全属性提升
KEYWORD_ALLSTATSUP_DESC,All Stats increased by {stacks},,Todos los atributos aumentan en {stacks}.,Toutes les stats augmentent de {stacks}.,Alle Attribute um {stacks} erhöht,Tutte le statistiche aumentano di {stacks}.,Todos os atributos são aumentados em {stacks},全属性增加 {stacks} 点。
KEYWORD_ALLSTATSDOWN_NAME,All Stats Down,,Reducción total,Baisse de stats,Malus auf alle Attribute,Diminuzione delle Statistiche,Todos os atributos diminuídos,全属性下降
KEYWORD_ALLSTATSDOWN_DESC,All Stats decreased by {absstacks},,Todos los atributos se reducen en {absstacks}.,Toutes les stats baissent de {stacks}.,Alle Attribute um {absstacks} verringert.,Tutte le statistiche diminuiscono di {absstacks}.,Todos os atributos são diminuídos em {absstacks},全属性减少 {absstacks} 点。
KEYWORD_ALPHA_NAME,The Alpha,,Alfa,L'Alpha,Der Alpha,L'Alfa,Alfa,首领
KEYWORD_ALPHA_DESC,This is the Alpha. Certain abilities care about this.,,Es la unidad alfa. Ciertas habilidades le tienen cariño.,"L'Alpha, en chair et en os. Certaines compétences le prennent en compte.",Dies ist der Alpha. Relevant für gewisse Fähigkeiten.,Questo è l'Alfa. Alcune abilità ne tengono conto.,Esta unidade possui o papel de alfa. Isso é importante para certas habilidades.,"这就是首领。某些技能会受此影响。
"
KEYWORD_ALPHA_DESC_STACKLESS,No effects on its own. Only one unit can be The Alpha. Certain spells and abilities provide bonuses for The Alpha.,,No tiene efectos propios. Tan solo una unidad puede ser alfa. Ciertos hechizos y habilidades ofrecen bonificaciones para el gato alfa.,Aucun effet en soi. Une seule unité peut être l'Alpha. Certains sorts et compétences confèrent des bonus à l'Alpha.,Hat allein keine Wirkung. Nur eine Einheit kann der Alpha sein. Gewisse Zauber und Fähigkeiten verleihen dem Alpha Boni.,Nessun effetto di per sé. Solo un'unità può essere l'Alfa. Alcuni incantesimi e abilità forniscono bonus per l'Alfa.,Nenhum efeito por si só. Apenas uma unidade pode assumir o papel de alfa. Certos encantamentos e habilidades concedem bônus para alfas.,"自身无效果。只能有一个单位成为首领。
某些法术和技能会为首领提供加成。
"
KEYWORD_AMMO_NAME,Ammo,,Munición,Munitions,Munition,Munizioni,Munição,弹药
KEYWORD_AMMO_DESC,{stacks} shots left.,,Quedan {stacks} disparos.,Balles qu'il vous reste&nbsp;: {stacks}.,Noch {stacks}&nbsp;Schüsse übrig.,{stacks} colpi rimanenti.,{stacks} disparos restantes.,剩余 {stacks} 发。
KEYWORD_AMMO_DESC_STACKLESS,Certain abilities require ammo to use.,,Ciertas habilidades necesitan munición.,Certaines compétences requièrent des munitions.,Gewisse Fähigkeiten benötigen Munition.,Alcune abilità richiedono delle munizioni per essere utilizzate.,Certas habilidades requerem munição para serem utilizadas.,某些技能需要弹药才能使用。
KEYWORD_ATTRACTION_NAME,Attraction,,Atracción,Attraction,Anziehung,Attrazione,Atração,吸引
KEYWORD_ATTRACTION_REF,Attraction,,Atracción,Attraction,Anziehung,Attrazione,Atração,吸引
KEYWORD_ATTRACTION_DESC_REF,Moves towards {applier} at the start of its turn.,,Se mueve hacia {applier} al inicio del turno.,Avance vers {applier} au début de son tour.,Bewegt sich am Anfang des Zuges auf {applier} zu.,Si muove verso {applier} all'inizio del suo turno.,Move-se na direção de {applier} no início de seu turno.,在回合开始时向 {applier} 移动。
KEYWORD_ATTRACTION_DESC,The thing attracting you is gone. Does nothing.,,Lo que ejercía la atracción ha desaparecido. No hace nada.,Ce qui vous attirait a disparu. L'effet disparaît également.,"Was auch immer dich angezogen hat, ist nicht mehr da. Hat keine Wirkung.",L'oggetto che ti attrae è sparito. Non succede nulla.,A coisa que está atraindo você se foi. Não faz nada.,吸引你的目标已消失。无效果。
KEYWORD_ATTRACTION_DESC_STACKLESS,Moves towards you at the start of its turn.,,Se mueve hacia esta unidad al inicio del turno.,Se déplace en votre direction au début de son tour.,Bewegt sich am Anfang des Zuges auf dich zu.,Si muove verso di te all'inizio del suo turno.,Move-se na sua direção no início de seu turno.,在回合开始时向你移动。
KEYWORD_BACKFLIP_NAME,Backflip,,Mortal hacia atrás,Salto arrière,Rückwärtssalto,Salto Mortale all'Indietro,Mortal para Trás,后空翻
KEYWORD_BACKFLIP_DESC,Backflips out of the way the next time it's targeted.,,Esta unidad se apartará dando un mortal hacia atrás la próxima vez que la apunten.,Effectue un salto arrière pour esquiver la prochaine fois qu'il est pris pour cible.,"Führt einen Rückwärtssalto aus, wenn die Einheit das nächste Mal anvisiert wird.",Effettua un salto mortale all'indietro la prossima volta che diventa un bersaglio.,Dá um mortal para trás na próxima que se tornar alvo.,"下一次被作为目标时，
通过后空翻闪避。"
KEYWORD_BLEED_NAME,Bleed,,Hemorragia,Saignement,Blutung,Sanguinamento,Sangramento,流血
KEYWORD_BLEED_DESC,"Takes {stacks} damage at the end of the round, then increase Bleed by 1.",,Sufre {stacks} de daño al final de la ronda y luego aumenta la hemorragia en 1.,"Subit {stacks} dégâts en fin de manche, puis Saignement +1.",Erleidet am Ende der Runde {stacks}&nbsp;Schaden und erhöht Blutung um 1.,"Subisce {stacks} di danno alla fine del round, poi aumenta Sanguinamento di 1.",Sofre {stacks} de dano no final da rodada e então aumenta o sangramento em 1.,"在回合结束时受到 {stacks} 点伤害，
然后流血层数增加 1。"
KEYWORD_BLEED_DESC_STACKLESS,"Takes damage at the end of the round, then increase Bleed by 1.",,Sufre daño al final de la ronda y luego aumenta la hemorragia en 1.,"Subit des dégâts en fin de manche, puis Saignement +1.",Erleidet am Ende der Runde Schaden und erhöht Blutung um 1.,"Subisce danno alla fine del round, poi aumenta Sanguinamento di 1.","Sofre dano no final da rodada, e então aumenta o sangramento em 1.","在回合结束时受到伤害，
然后流血层数增加 1。"
KEYWORD_BLEEDTHORNS_NAME,Bleed Thorns,,Espinas hemorrágicas,Épines sanglantes,Blutige Dornen,Spine Insanguinate,Espinhos de Sangramento,流血荆棘
KEYWORD_BLEEDTHORNS_DESC,Deals {stacks} damage and inflicts Bleed {stacks} to units that contact you.,,Inflige {stacks} de daño y +{stacks} de hemorragia a las unidades en que entran en contacto con esta.,Inflige {stacks} dégâts et Saignement {stacks} aux unités qui vous touchent.,"Verursacht {stacks}&nbsp;Schaden und {stacks}&nbsp;Stapel Blutung bei Einheiten, die dich berühren.",Infligge {stacks} danno e Sanguinamento {stacks} alle unità che ti toccano.,Causa {stacks} de dano e aplica sangramento {stacks} em unidades que entrarem em contato com você.,"对接触你的
单位造成 {stacks} 点伤害并施加 {stacks} 层流血。
"
KEYWORD_BLEEDTHORNS_DESC_STACKLESS,Deals damage and inflicts Bleed to units that contact you.,,Inflige daño y hemorragia a las unidades que entran en contacto con esta.,Inflige des dégâts et Saignement aux unités qui vous touchent.,"Verursacht Schaden und Blutung bei Einheiten, die dich berühren.",Infligge danno e Sanguinamento alle unità che ti toccano.,Causa dano e aplica sangramento em unidades que entrarem em contato com você.,"对接触你的单位造成伤害并施加流血。
"
KEYWORD_BLESSINGOFPEACE_NAME,Blessing of Peace,,Bendición de paz,Bénédiction de paix,Friedenssegen,Benedizione della Pace,Benção da Paz,和平祝福
